"CODE","LIBELLE LONG","LANGUE","PAYS","VILLE","VERSION EMPLITUDE","BASE DE DONNEES","MAINTENANCE","ETAT"
"ABM","Attijari Bank Mauritanie","Français","Mauritanie","Nouakchott","11.2.2.MNT.EDITEUR","ORACLE","Oui","Actif"
"ABT","Attijari Wafa Bank Tunisie","Français","Tunisie","Tunis","11.4.1.MNT.EDITEUR","ORACLE","Oui","Actif"
"ABTC","Attijari Bank Tchad","Français","Tchad","Ndjamena","11.3.4.MNT.EDITEUR","ORACLE","Oui","Actif"
"AFB","Afriland First Bank","Français","Cameroun","Yaounde","10.1.65_AFB","INFORMIX","Oui","Actif"
"AIBTOS","Attijari International Bank Tanger Off-Shore","Français","Maroc","Tanger","11.3.0.MNT.EDITEUR","ORACLE","Oui","Actif"
"ATOM","ATOM FINANCE GE","Français","Guinée équatoriale","Malabo","10.1.123.ATOM","ORACLE","Oui","Actif"
"AWB MEHARI","Attijari Wafa Bank Mehari","Français","Maroc","Casablanca","9.1.311_AWMH","INFORMIX","Oui","Actif"
"AWB-BBE","Attijari Wafa Bank Barclays Bank Egypt","Anglais","Egypte","Le Caire","11.2.4.MNT.EDITEUR","ORACLE","Oui","Actif"
"AWBE","Attijari Wafa Bank Europe","Français","France","Paris","11.3.2.MNT.AWBE","ORACLE","Oui","Actif"
"AWBEB","Attijari Wafa Bank Europe Bruxelles","Français","Belgique","Bruxelles","11.3.4.MNT.EDITEUR","ORACLE","Oui","Inactif"
"BEA","Banque Extérieure d'Algérie","Français","Algérie","Alger","8.3.2","INFORMIX","Oui","Actif"
"CBAO","Compagnie Bancaire de l'Afrique de l'Ouest","Français","Sénégal","Dakar","9.1.241_CBAO","ORACLE","Oui","Actif"
"CBC","Commercial Bank Of Cameroun","Français","Cameroun","Yaounde","11.1.11.MNT.EDITEUR","ORACLE","Oui","Actif"
"CDC","Caisse de Dépôts et Consignations","Français","Gabon","Libreville","10.0.32_CDC","ORACLE","Oui","Actif"
"FBN DRC","FBNBank DRC SA","Français","Congo RDC","Kinshasa","10.0.5_BIC","INFORMIX","Oui","Inactif"
"HFC","Housing Finace Corporation","Anglais","Chypre","Nicosie","9.1.249_HFC","INFORMIX","Oui","Actif"
"IBM","Internaional Bank of Mauritania","Français","Mauritanie","Nouakchott","11.1.11.MNT.EDITEUR","ORACLE","Oui","Actif"
"KCB","Kenya Commercial Bank","Anglais","Kenya","Nairobi","11.2.1.MNT.KCB","ORACLE","Oui","Actif"
"LBO","La Banque Outarde","Français","Sénégal","Dakar","11.1.8.MNT.EDITEUR","ORACLE","Oui","Actif"
"NBM","Nouvelle Banque de Mauritanie","Français","Mauritanie","Nouakchott","10.1.80_NBM","ORACLE","Oui","Actif"
"QNB","Qatar National Bank","Anglais","Egypte","Le Caire","10.1.127_QNB","ORACLE","Oui","Actif"
"SGB","Société Générale Bénin","Français","Bénin","Porto Novo","10.0_2011Q2_SGBBE","INFORMIX","Oui","Actif"
"UTB","Union Togolaise de Banque","Français","Togo","Lomé","11.1.14.MNT.EDITEUR","ORACLE","Oui","Actif"
